Gene Name,Model Confidence
B9J08_001483,0.9999999992339794
B9J08_003399,0.9999999884394438
B9J08_004248,0.9999999291295248
B9J08_002229,0.9999987726091145
B9J08_000277,0.9999812911197853
B9J08_001786,0.9999662935857409
B9J08_002452,0.9999439973271195
B9J08_003680,0.9999248402382176
B9J08_003866,0.9999061719058444
B9J08_001787,0.9998790015381318
B9J08_002868,0.999553523468307
B9J08_004253,0.9991014189731862
B9J08_000364,0.997823618076574
B9J08_002053,0.9966723828323865
B9J08_001508,0.9955369383082668
B9J08_003301,0.9949281510045029
B9J08_005299,0.9930436272401996
B9J08_002853,0.9927142586380566
B9J08_000936,0.9925898753646157
B9J08_001981,0.9865003985826356
B9J08_000380,0.985190133263757
B9J08_004134,0.9837033390040588
B9J08_001480,0.971971949116805
B9J08_003509,0.9534421824617434
B9J08_001038,0.9526520559783851
B9J08_004235,0.9524515589554734
B9J08_001825,0.9441361553388035
B9J08_002344,0.9148073343013152
B9J08_000725,0.898050762858696
B9J08_003477,0.8913969473717734
B9J08_004166,0.8685710143430332
B9J08_001888,0.7873919875318157
B9J08_001780,0.784501024774931
B9J08_003144,0.757077169713617
B9J08_002986,0.745105935446685
B9J08_001192,0.7451035050151938
B9J08_001463,0.7405752138779734
B9J08_003180,0.7046216264043011
B9J08_002024,0.6857446041697478
B9J08_000045,0.6836987420844688
B9J08_001543,0.664669868845076
B9J08_004679,0.6612273273294366
B9J08_001857,0.6042454929678138
B9J08_002007,0.5891429358515945
B9J08_001030,0.5865733235005883
B9J08_003259,0.5524834348524866
B9J08_003051,0.49390126640219834
B9J08_00442,0.4647799762558496
B9J08_001414,0.4452451813829864
B9J08_002387,0.4119522067656923
B9J08_005042,0.4083848238536122
B9J08_003340,0.4043280330060878
B9J08_000348,0.38658344666723776
B9J08_001075,0.38231469897803144
B9J08_002793,0.3508575637342203
B9J08_001912,0.33862701270424966
B9J08_005391,0.33795757269809296
B9J08_001658,0.33290573889942277
B9J08_003992,0.29701486403677313
B9J08_001813,0.2763590266343694
